id	name	Nikita	Andrey	Alexey	Result OR	Result AND	Count Yes > 1
574	Daniel Shorten	Yes	No	Yes	TRUE	FALSE	TRUE
242	J. Hall	No	No	No	FALSE	FALSE	FALSE
536	Robert Flach	Yes	No	No	TRUE	FALSE	FALSE
82	Andy Minter	No	No	No	FALSE	FALSE	FALSE
672	Stuart Bell	Yes	No	No	TRUE	FALSE	FALSE
315	Jean Crevier	Yes	No	No	TRUE	FALSE	FALSE
628	Bryan Ness	Yes	No	No	TRUE	FALSE	FALSE
61	John Greenman	No	No	No	FALSE	FALSE	FALSE
649	Scarlett!	Yes	Yes	Yes	TRUE	TRUE	TRUE
105	Marian Brown	No	No	No	FALSE	FALSE	FALSE
399	entada	No	No	No	FALSE	FALSE	FALSE
89	Paula Berinstein	No	No	Yes	TRUE	FALSE	FALSE
502	Lee Elliott	No	No	No	FALSE	FALSE	FALSE
102	Maureen S. O'Brien	Yes	Yes	No	TRUE	FALSE	TRUE
544	Miranda Stinson	Yes	Yes	Yes	TRUE	TRUE	TRUE
653	cucciasv	Yes	Yes	Yes	TRUE	TRUE	TRUE
465	Leonie Rose	No	No	No	FALSE	FALSE	FALSE
96	Kymm Zuckert	Yes	No	No	TRUE	FALSE	FALSE
447	Lee Ann Howlett	No	No	No	FALSE	FALSE	FALSE
165	Elisabeth Shields	Yes	No	No	TRUE	FALSE	FALSE
430	Millbeach	No	No	No	FALSE	FALSE	FALSE
214	Scott Splavec	No	Yes	No	TRUE	FALSE	FALSE
666	Kelly Dougherty	Yes	Yes	No	TRUE	FALSE	TRUE
481	Scott Sherris	Yes	No	Yes	TRUE	FALSE	TRUE
463	Chris Hughes	No	No	No	FALSE	FALSE	FALSE
273	Andrew Lebrun	Yes	No	No	TRUE	FALSE	FALSE
172	Harvey Chinn	Yes	No	No	TRUE	FALSE	FALSE
83	Graham Williams	No	No	No	FALSE	FALSE	FALSE
523	Michael Loftus	No	No	No	FALSE	FALSE	FALSE
38	Kurt Copeland	No	No	No	FALSE	FALSE	FALSE
248	fieldsofgold	Yes	Yes	No	TRUE	FALSE	TRUE
234	Menno	No	No	No	FALSE	FALSE	FALSE
145	Mr. Baby Man	Yes	No	No	TRUE	FALSE	FALSE
250	Quentin	No	No	No	FALSE	FALSE	FALSE
498	Chris Gladis	No	No	No	FALSE	FALSE	FALSE
123	Sean McGaughey	Yes	Yes	No	TRUE	FALSE	TRUE
171	Paul Harvey	Yes	Yes	No	TRUE	FALSE	TRUE
49	Kristen McQuillin	No	No	No	FALSE	FALSE	FALSE
588	Kalynda	No	No	No	FALSE	FALSE	FALSE
117	Caitlin Kelly	Yes	No	No	TRUE	FALSE	FALSE
657	Shannon	No	No	No	FALSE	FALSE	FALSE
275	Zale Schafer (Rose May Chamberlin Memorial Foundat	No	No	No	FALSE	FALSE	FALSE
604	Anne-Marie	Yes	Yes	Yes	TRUE	TRUE	TRUE
64	Christiane Levesque	Yes	Yes	No	TRUE	FALSE	TRUE
685	Nikki Sullivan	Yes	No	Yes	TRUE	FALSE	TRUE
355	Lana Taylor	No	No	No	FALSE	FALSE	FALSE
185	Kim Braun	No	No	No	FALSE	FALSE	FALSE
52	Cori Samuel	Yes	No	Yes	TRUE	FALSE	TRUE
218	Joy Chan	Yes	Yes	Yes	TRUE	TRUE	TRUE
549	AmyAG	No	No	No	FALSE	FALSE	FALSE
617	PJ	Yes	Yes	Yes	TRUE	TRUE	TRUE
414	Christabel	Yes	No	Yes	TRUE	FALSE	TRUE
382	Kelli Robinson	No	No	No	FALSE	FALSE	FALSE
76	ML Cohen	No	No	Yes	TRUE	FALSE	FALSE
176	Micah Sheppard	Yes	No	No	TRUE	FALSE	FALSE
233	mikenkat	No	Yes	No	TRUE	FALSE	FALSE
390	JimmyLogan	Yes	No	No	TRUE	FALSE	FALSE
393	Tim Lundeen	No	No	No	FALSE	FALSE	FALSE
425	RedToby	Yes	No	Yes	TRUE	FALSE	TRUE
398	Sam Fold	No	No	No	FALSE	FALSE	FALSE
372	Jim Mullins	Yes	No	No	TRUE	FALSE	FALSE
99	Stewart Wills	No	No	No	FALSE	FALSE	FALSE
340	Nick Gallant	No	No	No	FALSE	FALSE	FALSE
40	JemmaBlythe	No	No	No	FALSE	FALSE	FALSE
118	Brenda Dayne	Yes	Yes	Yes	TRUE	TRUE	TRUE
640	David A. Stokely	Yes	No	No	TRUE	FALSE	FALSE
50	Dan Threetrees	Yes	No	Yes	TRUE	FALSE	TRUE
373	Brooks Seveer	Yes	Yes	No	TRUE	FALSE	TRUE
124	Steve Karafit	No	No	No	FALSE	FALSE	FALSE
314	Carl Vonnoh, III	Yes	Yes	Yes	TRUE	TRUE	TRUE
531	Fr. Richard Zeile of Detroit	Yes	No	No	TRUE	FALSE	FALSE
383	Mike Roop	Yes	No	No	TRUE	FALSE	FALSE
710	Sheila Morton	Yes	No	Yes	TRUE	FALSE	TRUE
450	Heather Duncan	Yes	No	Yes	TRUE	FALSE	TRUE
645	Micah	Yes	Yes	No	TRUE	FALSE	TRUE
517	Madame Tusk	Yes	Yes	No	TRUE	FALSE	TRUE
479	Wina Hathaway	Yes	No	No	TRUE	FALSE	FALSE
30	Ophelia Darcy	No	No	No	FALSE	FALSE	FALSE
220	Tina Tilney	No	No	No	FALSE	FALSE	FALSE
63	Linda Wilcox	Yes	Yes	No	TRUE	FALSE	TRUE
283	Bethany Simpson	Yes	No	No	TRUE	FALSE	FALSE
644	Cynthia Zocca	Yes	Yes	No	TRUE	FALSE	TRUE
677	Allyson Hester	No	No	No	FALSE	FALSE	FALSE
21	Kelly Bescherer	Yes	No	No	TRUE	FALSE	FALSE
552	Mim Ritty	No	No	No	FALSE	FALSE	FALSE
80	Fox in the Stars	Yes	No	Yes	TRUE	FALSE	TRUE
394	swroot	Yes	Yes	No	TRUE	FALSE	TRUE
426	Megan Stemm-Wade	Yes	No	No	TRUE	FALSE	FALSE
91	Chris Goringe	Yes	No	Yes	TRUE	FALSE	TRUE
108	Kevin McAsh	Yes	No	Yes	TRUE	FALSE	TRUE
130	Peter of Buckinghamshire England	Yes	No	No	TRUE	FALSE	FALSE
661	James Gladwin	Yes	Yes	Yes	TRUE	TRUE	TRUE
216	Dave Ranson	No	No	No	FALSE	FALSE	FALSE
164	Ed Good	Yes	Yes	Yes	TRUE	TRUE	TRUE
308	Eric Connover	Yes	Yes	Yes	TRUE	TRUE	TRUE
569	Arouet	Yes	No	No	TRUE	FALSE	FALSE
313	Tim Bulkeley	No	No	No	FALSE	FALSE	FALSE
212	Glen Hallstrom	No	No	No	FALSE	FALSE	FALSE
15	Chip	Yes	No	No	TRUE	FALSE	FALSE
469	Christian Pecaut	Yes	Yes	No	TRUE	FALSE	TRUE
294	Diana Kiesners	No	No	No	FALSE	FALSE	FALSE
192	Nocturna	Yes	Yes	No	TRUE	FALSE	TRUE
73	Claire Goget	Yes	No	No	TRUE	FALSE	FALSE
417	Kiki Baessell	Yes	No	Yes	TRUE	FALSE	TRUE
636	Matthew Howell	Yes	No	No	TRUE	FALSE	FALSE
36	chriss the girl	Yes	No	No	TRUE	FALSE	FALSE
668	Jan Baxter	Yes	Yes	Yes	TRUE	TRUE	TRUE
403	Igor Teaforay	No	No	No	FALSE	FALSE	FALSE
618	Linnea	No	No	No	FALSE	FALSE	FALSE
596	Jo	Yes	No	Yes	TRUE	FALSE	TRUE
499	Tammy Sanders	No	No	No	FALSE	FALSE	FALSE
207	Sage Tyrtle	No	No	No	FALSE	FALSE	FALSE
1346	Jeanie	No	No	No	FALSE	FALSE	FALSE
1109	Martin Geeson	Yes	No	Yes	TRUE	FALSE	TRUE
770	Pete Williams, Pittsburgh, PA	Yes	No	Yes	TRUE	FALSE	TRUE
1247	Sarah LuAnn	Yes	Yes	No	TRUE	FALSE	TRUE
1526	Mike Harris	No	No	No	FALSE	FALSE	FALSE
908	Quentin Manuel	Yes	No	Yes	TRUE	FALSE	TRUE
1183	Evelyn Clarke	Yes	No	No	TRUE	FALSE	FALSE
1438	Tom Barron	Yes	No	No	TRUE	FALSE	FALSE
1022	peac	No	No	No	FALSE	FALSE	FALSE
1603	Christine Rodriguez	No	No	No	FALSE	FALSE	FALSE
1425	Jonah Cummings	No	No	No	FALSE	FALSE	FALSE
731	Priya, India	Yes	No	No	TRUE	FALSE	FALSE
782	Alec Daitsman	Yes	Yes	No	TRUE	FALSE	TRUE
1090	Termin Dyan	Yes	No	No	TRUE	FALSE	FALSE
995	Parrot	Yes	Yes	No	TRUE	FALSE	TRUE
923	Jane Greensmith	Yes	No	Yes	TRUE	FALSE	TRUE
766	Clive Catterall	No	No	No	FALSE	FALSE	FALSE
822	kristiface	Yes	Yes	Yes	TRUE	TRUE	TRUE
897	Jan Dawn Doronila	Yes	No	No	TRUE	FALSE	FALSE
1579	Linda Velwest	No	No	No	FALSE	FALSE	FALSE
964	Utek	No	No	No	FALSE	FALSE	FALSE
